date,category,w1,w2,w3,w4
2023-08-18,UNITS OF VOLUME,CUP,GALLON,PINT,QUART
2023-08-18,EXTREMELY,AWFUL,QUITE,SUPER,VERY
2023-08-18,WORLD CURRENCIES,RAND,REAL,STERLING,WON
2023-08-18,___ CAKE,CARROT,COFFEE,POUND,SPONGE
2023-08-17,DESSERTS,CAKE,COBBLER,PIE,TART
2023-08-17,OCCUPATIONAL SURNAMES,FISHER,MASON,MILLER,SMITH
2023-08-17,ALTER DECEPTIVELY,DISTORT,DOCTOR,FUDGE,TWIST
2023-08-17,SQUARE ___,DANCE,MEAL,ONE,ROOT
2023-08-16,TIME PERIODS,CENTURY,DECADE,MILLENNIUM,YEAR
2023-08-16,BREAKFAST FOODS,CEREAL,OMELET,PANCAKE,WAFFLE
2023-08-16,PAINTERS,BACON,CLOSE,MUNCH,WHISTLER
2023-08-16,ONE IN A DOZEN,EGG,JUROR,MONTH,ROSE
2023-08-15,STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID
2023-08-15,ENERGY,JUICE,SPIRIT,STEAM,VIGOR
2023-08-15,CLASSICAL ELEMENTS,AIR,EARTH,FIRE,WATER
2023-08-15,THINGS WITH RINGS,CIRCUS,SATURN,TREE,WEDDING
2023-08-14,CLASSIC DOG NAMES,FIDO,LUCKY,ROVER,SPOT
2023-08-14,PERCEIVE,CATCH,NOTICE,OBSERVE,SEE
2023-08-14,FISHING TERMS,BAIT,CHUM,FLY,SINKER
2023-08-14,T ____,BONE,REX,SHIRT,STORM
2023-08-13,FASTENING VERBS,BUCKLE,BUTTON,SNAP,ZIP
2023-08-13,SLANG FOR ZERO,JACK,NADA,NOTHING,SQUAT
2023-08-13,GYM EXERCISES,CURL,LUNGE,PLANK,PRESS
2023-08-13,CAPTAINS,CRUNCH,KANGAROO,OBVIOUS,PLANET
2023-08-12,STATE ABBREVIATIONS,CO,MA,ME,PA
2023-08-12,MUSICAL NOTES,DO,FA,LA,TI
2023-08-12,GREEK LETTERS,MU,NU,PI,XI
2023-08-12,PERIODIC TABLE SYMBOLS,FE,HE,NA,NI
2023-08-11,THEORETICAL PHYSICISTS,EINSTEIN,FEYNMAN,HAWKING,OPPENHEIMER
2023-08-11,TALENT,FACULTY,FLAIR,GENIUS,GIFT
2023-08-11,AUSTRALIAN TERMS,BARBIE,BUSH,CRIKEY,MATE
2023-08-11,___ POINT,MATCH,MOOT,SELLING,WEST
2023-08-10,HORROR FRANCHISES,PURGE,RING,SAW,SCREAM
2023-08-10,SPORTS VENUES,COURT,DIAMOND,FIELD,RINK
2023-08-10,MAKE HAPPY,CHARM,DELIGHT,PLEASE,TICKLE
2023-08-10,JEWELRY,ANKLET,BANGLE,BROOCH,PENDANT
2023-08-09,UNSPECIFIED QUANTITIES,FEW,HANDFUL,SEVERAL,SOME
2023-08-09,NEWSPAPERS,GLOBE,JOURNAL,POST,SUN
2023-08-09,CELESTIAL OBJECTS,ASTEROID,COMET,MOON,PLANET
2023-08-09,FRUIT HOMOPHONES,LYME,MELLON,PAIR,PLUMB
2023-08-08,ARACHNIDS,MITE,SCORPION,SPIDER,TICK
2023-08-08,FISH,CHAR,EEL,PERCH,SHARK
2023-08-08,SUPERHEROES,BLACK WIDOW,BLADE,FLASH,STORM
2023-08-08,MTV SHOWS,CATFISH,CRIBS,JACKASS,STATE
2023-08-07,MOVIE GENRES,HORROR,MUSICAL,ROMANCE,WESTERN
2023-08-07,PATTERNS,HOUNDSTOOTH,PAISLEY,PLAID,STRIPES
2023-08-07,SYNONYMS FOR FALSEHOOD,FIB,FICTION,LIE,TALE
2023-08-07,CANDY PIECES,DOT,GOOBER,KISS,WHOPPER
2023-08-06,CLASSIC ARCADE GAMES,ASTEROIDS,BREAKOUT,FROGGER,PONG
2023-08-06,DANCES,HUSTLE,SALSA,SWING,TANGO
2023-08-06,TOUCHSCREEN GESTURES,PINCH,SPREAD,SWIPE,TAP
2023-08-06,RAPPERS MINUS NUMBERS,CENT,CHAINZ,PAC,SAVAGE
2023-08-05,CLASSIC TOYS,BLOCKS,DOLL,TOP,YO-YO
2023-08-05,WORDS WITH THREE G'S,BAGGAGE,EGGNOG,GIGGLE,LEGGINGS
2023-08-05,SHAKESPEARE CHARACTERS,DUNCAN,JULIET,PUCK,VIOLA
2023-08-05,___ STICK,FISH,HOCKEY,MEMORY,SELFIE
2023-08-04,PLACES FOR WORSHIP,ALTAR,RELIQUARY,SHRINE,TEMPLE
2023-08-04,CARTOON CATS,FELIX,GARFIELD,SYLVESTER,TOM
2023-08-04,PRESIDENTIAL FIRST NAMES,CALVIN,CHESTER,GROVER,HARRY
2023-08-04,___ ROAD,ABBEY,HIGH,ROCKY,SILK
2023-08-03,ANIMAL GROUP NAMES,COLONY,HERD,PRIDE,SWARM
2023-08-03,STONED,BAKED,BLAZED,HIGH,LIT
2023-08-03,AP CLASSES,BIO,CHEM,GOV,STATS
2023-08-03,TAXONOMY RANKS,CLASS,DOMAIN,FAMILY,ORDER
2023-08-02,COMPUTER EQUIPMENT,KEYBOARD,MONITOR,MOUSE,SPEAKER
2023-08-02,RODENTS,GERBIL,HAMSTER,RAT,VOLE
2023-08-02,MUSICAL INSTRUMENTS,HARP,HORN,ORGAN,TRIANGLE
2023-08-02,SYNONYMS FOR COMPLAIN,CARP,GRIPE,GROUSE,MOAN
2023-08-01,LONG SANDWICHES,HERO,HOAGIE,GRINDER,SUB
2023-08-01,DATING APPS,BUMBLE,HINGE,MATCH,TINDER
2023-08-01,VAMPIRE MOVIES,BLADE,LOST BOYS,NEAR DARK,TWILIGHT
2023-08-01,ADAMS,ANT,DRIVER,SCOTT,WEST
2023-07-31,UNITS OF LENGTH,FOOT,INCH,MILE,YARD
2023-07-31,TYPES OF PAINT,ACRYLIC,OIL,TEMPERA,WATERCOLOR
2023-07-31,DEEP FRIED FOOD,FALAFEL,KATSU,SAMOSA,SCHNITZEL
2023-07-31,STARTS OF U.S. COINS,DIM,NICK,PEN,QUART
2023-07-30,RELATIVES,AUNT,COUSIN,MOTHER,NEPHEW
2023-07-30,SYNONYMS FOR OFFBEAT,DAFFY,KOOKY,QUIRKY,WACKY
2023-07-30,DISNEY DUCKS,DAISY,DEWEY,DONALD,SCROOGE
2023-07-30,___ CLOCK,ALARM,BIOLOGICAL,CUCKOO,GRANDFATHER
2023-07-29,FABRICS,CORDUROY,DENIM,LINEN,TWEED
2023-07-29,APPARITIONS,GHOST,PHANTOM,SPECTER,SPIRIT
2023-07-29,SYNONYMS FOR BOTHER,NEEDLE,POKE,RIB,TEASE
2023-07-29,DISNEY CHARACTERS,BEAST,GENIE,SCAR,STITCH
2023-07-28,BIOMES,DESERT,FOREST,GRASSLAND,TUNDRA
2023-07-28,LIZARDS,CHAMELEON,GECKO,IGUANA,MONITOR
2023-07-28,YOGA POSES,COBRA,LOTUS,TREE,WARRIOR
2023-07-28,DANCES WHEN DOUBLED,CAN,CHA,GO,NAE
2023-07-27,MOVIE TITLE CITIES,CHICAGO,MUNICH,PHILADELPHIA,RIO
2023-07-27,FASHION MAGAZINES,ALLURE,ELLE,GLAMOUR,W
2023-07-27,STORMS,BLIZZARD,CYCLONE,SQUALL,TORNADO
2023-07-27,COCKTAILS,COSMOPOLITAN,HURRICANE,MANHATTAN,SCREWDRIVER
2023-07-26,MODES OF TRANSPORTATION,BOAT,CAR,PLANE,TRAIN
2023-07-26,NBA PLAYERS,KING,MAGIC,SUN,THUNDER
2023-07-26,FAST FOOD CHAINS,CHECKERS,OUTBACK,SONIC,SUBWAY
2023-07-26,BAND NAMES MINUS COLORS,DAY,FLOYD,SABBATH,STRIPES
2023-07-25,STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID
2023-07-25,EDIT MENU COMMANDS,COPY,CUT,PASTE,UNDO
2023-07-25,DEFEAT BADLY,CRUSH,ROUT,SHELLAC,TRASH
2023-07-25,ANAGRAMS,LEAST,SLATE,STALE,TESLA
2023-07-24,SYNONYMS FOR ANGRY,FURIOUS,INCENSED,IRATE,LIVID
2023-07-24,THINGS THAT ARE YELLOW,BANANA,CANARY,SCHOOL BUS,SUNFLOWER
2023-07-24,MARINE BIRDS,BOOBY,GULL,PELICAN,PUFFIN
2023-07-24,___ BOYS,BEACH,BEASTIE,HARDY,LOST
2023-07-23,SCUBA GEAR,FINS,MASK,SNORKEL,TANK
2023-07-23,PUNCTUATION MARKS,COLON,COMMA,HYPHEN,PERIOD
2023-07-23,RUN QUICKLY,BOLT,DASH,RACE,SPRINT
2023-07-23,___ CAT,DOJA,FAT,HOUSE,JUNGLE
2023-07-22,BOTTLED WATER BRANDS,DASANI,EVIAN,FIJI,VOSS
2023-07-22,SLANG FOR COFFEE,BREW,JAVA,JOE,MUD
2023-07-22,ISLAND COUNTRIES,CUBA,JAPAN,MALTA,PALAU
2023-07-22,CEREAL MASCOTS,LUCKY,POP,SAM,TONY
2023-07-21,WOODWINDS,BASSOON,CLARINET,FLUTE,OBOE
2023-07-21,COVERINGS,CAP,COVER,LID,TOP
2023-07-21,SUNGLASSES,AVIATOR,CAT EYE,WAYFARER,WRAPAROUND
2023-07-21,SEALS,HARBOR,HARP,HOODED,MONK
2023-07-20,TIMEKEEPING DEVICES,CLOCK,HOURGLASS,SUNDIAL,WATCH
2023-07-20,HAIRSTYLES,BOB,CROP,PIXIE,SHAG
2023-07-20,UNITS OF MEASURE,HERTZ,MOLE,NEWTON,SECOND
2023-07-20,DR. ___,EVIL,J,NO,PEPPER
2023-07-19,TREES,ASH,CEDAR,MAPLE,PINE
2023-07-19,LAND FORMATIONS,HILL,MOUNTAIN,PLATEAU,VALLEY
2023-07-19,BAGEL FLAVORS,EVERYTHING,ONION,PLAIN,POPPY
2023-07-19,STREETS ON SCREEN,ELM,FEAR,JUMP,SESAME
2023-07-18,MARINE MAMMALS,DOLPHIN,MANATEE,OTTER,SEAL
2023-07-18,BIKE PARTS,BRAKE,CHAIN,SADDLE,SPOKE
2023-07-18,SYNONYMS FOR SELL,HAWK,MOVE,PEDDLE,VEND
2023-07-18,"""COUNTRIES WHEN """"A"""" IS ADDED""",CHIN,CUB,MALT,TONG
2023-07-17,MARSUPIALS,KANGAROO,KOALA,WALLABY,WOMBAT
2023-07-17,CHOCOLATE BARS,CHUNKY,CRUNCH,MARS,MOUNDS
2023-07-17,SLANG FOR MONEY,CHEDDAR,DOUGH,PAPER,STACKS
2023-07-17,NAKED ___,EYE,GUN,MOLE RAT,TRUTH
2023-07-16,U.S. COINS,DIME,NICKEL,PENNY,QUARTER
2023-07-16,METAL ELEMENTS,IRON,LEAD,TIN,ZINC
2023-07-16,LUCKY CHARMS MARSHMALLOWS,CLOVER,HORSESHOE,MOON,RAINBOW
2023-07-16,___ AND ___,AGAIN,HALF,NECK,SO
2023-07-15,PLEASANT SMELLS,AROMA,BOUQUET,FRAGRANCE,SCENT
2023-07-15,MUSIC GENRES,BLUES,COUNTRY,FUNK,SOUL
2023-07-15,ROCK PAPER SCISSORS,PAPER,ROCK,SCISSORS,SHOOT
2023-07-15,MALE ANIMALS,BOAR,BUCK,BULL,JACK
2023-07-14,BOATS,FERRY,JUNK,TUG,YACHT
2023-07-14,SANDWICHES,CLUB,CUBAN,MELT,SUB
2023-07-14,CUTS OF BEEF,FLANK,LOIN,ROUND,SHANK
2023-07-14,NICKNAMES THAT ARE VERBS,CHUCK,JOSH,ROB,SUE
2023-07-13,SHOE PARTS,HEEL,LACE,SOLE,TONGUE
2023-07-13,BOARD GAMES,CLUE,RISK,SORRY,TROUBLE
