BEST ACTRESS OSCAR WINNERS,BERRY,FOSTER,STONE,SWANK
WHAT “GREEN” MIGHT MEAN,ENVIOUS,FRESH,NAIVE,UNWELL
NYT Connections 97,September 16th,2023,,
FAIRY TALE FIGURES,GIANT,PRINCESS,WITCH,WOLF
CHESS TERMS,BISHOP,MATE,GAMBIT,QUEEN
“PEANUTS” CHARACTERS,CHARLIE,PEPPERMINT PATTY,PIGPEN,WOODSTOCK
I LOVE ___,LUCY,NEW YORK,ROCK 'N ROLL,YOU
NYT Connections 96,September 15th,2023,,
BOVIDS,BUFFALO,COW,GOAT,SHEEP
EMIT LIGHT,BEAM,GLOW,RADIATE,SHINE
GYMNASTICS APPARATUS,FLOOR,HORSE,RINGS,VAULT
WORDS THAT SOUND LIKE TWO LETTERS,CUTIE,ENVY,EXCEL,SEEDY
NYT Connections 95,September 14th,2023,,
EYE PARTS,IRIS,LENS,PUPIL,RETINA
COUNTERFEIT,BOGUS,FAKE,PHONY,SHAM
RADIO LINGO,COPY,OUT,OVER,ROGER
SONGS THAT ARE NAMES,ALEJANDRO,LOLA,MICHELLE,STAN
NYT Connections 94,September 13th,2023,,
“SKEDADDLE!”,GET OUT,GO,LEAVE,SCRAM
PRONOUNS,ME,THEM,US,YOU
ANAGRAMS,NOPE,OPEN,PEON,PONE
___ BABY,BEANIE,FUR,NEPO,SANTA
NYT Connections 93,September 12th,2023,,
HOT DRINKS,CHAI,COCOA,COFFEE,TEA
ANIMAL SOUNDS,BUZZ,CLUCK,MEOW,OINK
TREE FEATURES,BARK,BRANCH,ROOT,TRUNK
INSIDE INFO,DIRT,DISH,SCOOP,SKINNY
NYT Connections 92,September 11th,2023,,
HALLOWEEN DECORATIONS,BAT,COBWEB,PUMPKIN,TOMBSTONE
TV SHOWS,24,BONES,FIREFLY,WEEDS
SLOT MACHINE SYMBOLS,7,BAR,BELL,CHERRY
NUMBERS IN BOOK TITLES,22,451,2001,20-0
NYT Connections 91,September 10th,2023,,
AMAZON ANIMALS,ANACONDA,CAPYBARA,JAGUAR,TOUCAN
LOWEST POINT,BASE,BOTTOM,FOOT,FOUNDATION
MUSICALS,COMPANY,GREASE,HAIR,RENT
SEA ___,CHANGE,CUCUMBER,LEGS,LION
NYT Connections 90,September 9th,2023,,
BASEBALL CALLS,BALL,OUT,SAFE,STRIKE
HEAT SOURCES,FORGE,FURNACE,KILN,OVEN
FISH THAT ARE VERBS,CARP,CATFISH,FLOUNDER,SMELT
SILENT “L”,COLONEL,SALMON,WALK,YOLK
NYT Connections 89,September 8th,2023,,
INHERENT NATURE,ESSENCE,HEART,SPIRIT,SOUL
FERMENETED ALCOHOLIC BEVERAGES,CIDER,PORT,SAKE,STOUT
PIXAR MOVIES,BRAVE,CARS,COCO,UP
___ TAPE,DEMO,RED,SCOTCH,TICKER
NYT Connections 88,September 7th,2023,,
ROCKY HORROR PICTURE SHOW,HORROR,PICTURE,ROCKY,SHOW
WHO FRAMED ROGER RABBIT,FRAMED,RABBIT,ROGER,WHO
WHEN HARRY MET SALLY,HARRY,MET,SALLY,WHEN
MAD MAX FURY ROAD,FURY,MAD,MAX,ROAD
NYT Connections 87,September 6th,2023,,
CREATURES IN FOLKLORE,GNOME,GOBLIN,OGRE,TROLL
FLOWER PARTS,BUD,LEAF,PETAL,STALK
ONE INVOLVED IN ESPIONAGE,AGENT,MOLE,PLANT,SPY
CHINESE ZODIAC ANIMALS,DRAGON,HORSE,RABBIT,TIGER
NYT Connections 86,September 5th,2023,,
INFORMATION DISPLAYS,CHART,DIAGRAM,GRAPH,MAP
ADDITIONAL BENEFIT,BONUS,EXTRA,ICING,PERK
THANKSGIVING FOOD,GRAVY,PIE,STUFFING,TURKEY
SONG TITLES WITH PARENTHESES,I RAN,ISTANBUL,MONTERO,SATISFACTION
NYT Connections 85,September 4th,2023,,
PAINTING ACCESSORIES,BRUSH,CANVAS,EASEL,PALETTE
AUTOMATIC TRANSMISSION SETTINGS,DRIVE,NEUTRAL,PARK,REVERSE
THINGS WITH TEETH,COMB,GEAR,SAW,ZIPPER
___ CHAIR,FIRST,FOLDING,HIGH,LAWN
NYT Connections 84,September 3rd,2023,,
FEMALE ANIMALS,COW,DOE,HEN,MARE
PRONOUNS,I,IT,THEY,WE
ROMAN NUMERALS,D,L,M,V
HOMOPHONES,EWE,U,YEW,YOU
NYT Connections 83,September 2nd,2023,,
AU NATUREL,BARE,NAKED,NUDE,UNCLAD
BAKED GOODS,BUN,DANISH,MUFFIN,TURNOVER
AMERICAN FOOTBALL ACTIONS,FUMBLE,PUNT,SACK,SNAP
MANICURE STEPS,BUFF,CLIP,FILE,POLISH
NYT Connections 82,September 1st,2023,,
DRINK VESSELS,GOBLET,SNIFTER,TUMBLER,STEIN
WOODWINDS,CLARINET,FLUTE,OBOE,SAXOPHONE
AMERICAN POETS,BISHOP,FROST,OLDS,POUND
CONSECUTIVE DOUBLE LETTERS,BALLOON,BASSOON,COFFEE,FRICASSEE
NYT Connections 81,August 31st,2023,,
APPETIZER UNIT,FRY,NACHO,POPPER,WING
RESPONSE TO A CORRECT ANSWER,BINGO,CORRECT,RIGHT,YES
MAR,CHIP,DING,NICK,SCRATCH
___JACK,APPLE,CRACKER,FLAP,LUMBER
NYT Connections 80,August 30th,2023,,
PLAYGROUND FIXTURES,SANDBOX,SEESAW,SLIDE,SWING
INFLUENCE,CLOUT,PULL,SWAY,WEIGHT
EGYPTIAN SYMBOLS,ANKH,CROOK,EYE,SCARAB
FONTS,COURIER,IMPACT,PAPYRUS,TIMES
NYT Connections 79,August 29th,2023,,
DEPART QUICKLY,BOOK,BOUNCE,RUN,SPLIT
ANIMALS THAT END WITH X,FOX,IBEX,LYNX,ORYX
SHADES OF BLACK,EBONY,JET,ONYX,RAVEN
WORDS BEFORE DAYS OF THE WEEK,ASH,BLACK,CYBER,FAT
NYT Connections 78,August 28th,2023,,
STATES OF ELATION,BLISS,CLOUD NINE,HEAVEN,PARADISE
SCAM,CON,FAST ONE,HUSTLE,RACKET
GREETING GESTURES,HIGH FIVE,HUG,SHAKE,WAVE
___ LIST,BUCKET,GUEST,TOP TEN,WISH
NYT Connections 77,August 27th,2023,,
POULTRY CUTS,BREAST,DRUMSTICK,TENDER,WING
GOLF TERMS,DRIVER,EAGLE,HOLE,STROKE
DRUM SET COMPONENTS,CYMBAL,KICK,SNARE,TOM
"ASSOCIATED WITH ""CRAWL""",INFANT,PUB,SWIMMING,TICKER
NYT Connections 76,August 26th,2023,,
BOARD GAMES,RISK,SORRY,TABOO,TROUBLE
NEWSPAPER SECTIONS,BUSINESS,NATIONAL,OPINION,STYLE
FIGURES IN GREEK MYTH,ATLAS,HERMES,NIKE,PARIS
ADJECTIVES IN RAPPERS' NAMES,FOXY,GUCCI,KILLER,NOTORIOUS
NYT Connections 75,August 25th,2023,,
SOCIAL GATHERING,BASH,BLOWOUT,PARTY,SHINDIG
PINOCCHIO FIGURES,CRICKET,PUPPET,WHALE,WOODCARVER
FOUND IN A KITCHEN,COUNTER,MIXER,RANGE,SINK
EASTER ___,BUNNY,EGG,ISLAND,SUNDAY
NYT Connections 74,August 24th,2023,,
EXTINCT ANIMALS,DODO,MAMMOTH,MASTODON,TRILOBITE
FAILURES,BUSTS,FLOPS,MISSES,TURKEYS
SLANG FOR CLOTHES,DUDS,GETUP,OUTFIT,THREADS
KISS,PECK,SMACK,SMOOCH,X
NYT Connections 73,August 23rd,2023,,
FACIAL HAIR,BEARD,GOATEE,MUSTACHE,STUBBLE
BIKE PARTS,GEAR,HANDLEBAR,PEDAL,WHEEL
PURSUE,DOG,FOLLOW,TAIL,TRACK
THINGS THAT ARE CAST,DOUBT,MOVIE,SHADOW,VOTE
NYT Connections 72,August 22nd,2023,,
PERFORMING ARTISTS,ACTOR,DANCER,SINGER,STAND-UP
SANTA'S REINDEER,COMET,CUPID,DASHER,VIXEN
SEEN ON VALENTINE'S DAY,CARD,CHOCOLATE,HEART,ROSE
"BAD ___ MOVIES""",BOYS,LIEUTENANT,SANTA,TASTE
NYT Connections 71,August 21st,2023,,
U.S. MOUNTAIN STATES,ARIZONA,COLORADO,NEVADA,UTAH
SODA BRANDS,CRUSH,MUG,SPRITE,SQUIRT
CLASSIC ROCK BANDS,GENESIS,KANSAS,RUSH,YES
TONY ___,HAWK,MONTANA,SOPRANO,STARK
NYT Connections 70,August 20th,2023,,
CAMPING SUPPLIES,COOLER,LANTERN,SLEEPING BAG,TENT
INSULT,BARB,DIG,DISS,JAB
TINY,MINUTE,SLIGHT,SMALL,WEE
HAPPY ___,CAMPER,HOUR,MEAL,MEDIUM
NYT Connections 69,August 19th,2023,,
FRIEND,BUD,CHUM,MATE,PAL
COOKWEAR,CROCK,POT,SKILLET,WOK
SHOES,CLOG,PUMP,SLIDE,WEDGE
SLANG FOR CANNABIS,GRASS,HERB,MARY JANE,WEED
NYT Connections 68,August 18th,2023,,
UNITS OF VOLUME,CUP,GALLON,PINT,QUART
EXTREMELY,AWFUL,QUITE,SUPER,VERY
WORLD CURRENCIES,RAND,REAL,STERLING,WON
___ CAKE,CARROT,COFFEE,POUND,SPONGE
NYT Connections 67,August 17th,2023,,
DESSERTS,CAKE,COBBLER,PIE,TART
OCCUPATIONAL SURNAMES,FISHER,MASON,MILLER,SMITH
ALTER DECEPTIVELY,DISTORT,DOCTOR,FUDGE,TWIST
SQUARE ___,DANCE,MEAL,ONE,ROOT
NYT Connections 66,August 16th,2023,,
TIME PERIODS,CENTURY,DECADE,MILLENNIUM,YEAR
BREAKFAST FOODS,CEREAL,OMELET,PANCAKE,WAFFLE
PAINTERS,BACON,CLOSE,MUNCH,WHISTLER
ONE IN A DOZEN,EGG,JUROR,MONTH,ROSE
NYT Connections 65,August 15th,2023,,
STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID
ENERGY,JUICE,SPIRIT,STEAM,VIGOR
CLASSICAL ELEMENTS,AIR,EARTH,FIRE,WATER
THINGS WITH RINGS,CIRCUS,SATURN,TREE,WEDDING
NYT Connections 64,August 14th,2023,,
CLASSIC DOG NAMES,FIDO,LUCKY,ROVER,SPOT
PERCEIVE,CATCH,NOTICE,OBSERVE,SEE
FISHING TERMS,BAIT,CHUM,FLY,SINKER
 T ____,BONE,REX,SHIRT,STORM
NYT Connections 63,August 13th,2023,,
FASTENING VERBS,BUCKLE,BUTTON,SNAP,ZIP
SLANG FOR ZERO,JACK,NADA,NOTHING,SQUAT
GYM EXERCISES,CURL,LUNGE,PLANK,PRESS
CAPTAINS,CRUNCH,KANGAROO,OBVIOUS,PLANET
NYT Connections 62,August 12th,2023,,
STATE ABBREVIATIONS,CO,MA,ME,PA
MUSICAL NOTES,DO,FA,LA,TI
GREEK LETTERS,MU,NU,PI,XI
PERIODIC TABLE SYMBOLS,FE,HE,NA,NI
NYT Connections 61,August 11th,2023,,
THEORETICAL PHYSICISTS,EINSTEIN,FEYNMAN,HAWKING,OPPENHEIMER
TALENT,FACULTY,FLAIR,GENIUS,GIFT
AUSTRALIAN TERMS,BARBIE,BUSH,CRIKEY,MATE
___ POINT,MATCH,MOOT,SELLING,WEST
NYT Connections 60,August 10th,2023,,
HORROR FRANCHISES,PURGE,RING,SAW,SCREAM
SPORTS VENUES,COURT,DIAMOND,FIELD,RINK
MAKE HAPPY,CHARM,DELIGHT,PLEASE,TICKLE
JEWELRY,ANKLET,BANGLE,BROOCH,PENDANT
NYT Connections 59,August 9th,2023,,
UNSPECIFIED QUANTITIES,FEW,HANDFUL,SEVERAL,SOME
NEWSPAPERS,GLOBE,JOURNAL,POST,SUN
CELESTIAL OBJECTS,ASTEROID,COMET,MOON,PLANET
FRUIT HOMOPHONES,LYME,MELLON,PAIR,PLUMB
NYT Connections 58,August 8th,2023,,
ARACHNIDS,MITE,SCORPION,SPIDER,TICK
FISH,CHAR,EEL,PERCH,SHARK
SUPERHEROES,BLACK WIDOW,BLADE,FLASH,STORM
MTV SHOWS,CATFISH,CRIBS,JACKASS,STATE
NYT Connections 57,August 7th,2023,,
MOVIE GENRES,HORROR,MUSICAL,ROMANCE,WESTERN
PATTERNS,HOUNDSTOOTH,PAISLEY,PLAID,STRIPES
SYNONYMS FOR FALSEHOOD,FIB,FICTION,LIE,TALE
CANDY PIECES,DOT,GOOBER,KISS,WHOPPER
NYT Connections 56,August 6th,2023,,
CLASSIC ARCADE GAMES,ASTEROIDS,BREAKOUT,FROGGER,PONG
DANCES,HUSTLE,SALSA,SWING,TANGO
TOUCHSCREEN GESTURES,PINCH,SPREAD,SWIPE,TAP
RAPPERS MINUS NUMBERS,CENT,CHAINZ,PAC,SAVAGE
NYT Connections 55,August 5th,2023,,
CLASSIC TOYS,BLOCKS,DOLL,TOP,YO-YO
WORDS WITH THREE G'S,BAGGAGE,EGGNOG,GIGGLE,LEGGINGS
SHAKESPEARE CHARACTERS,DUNCAN,JULIET,PUCK,VIOLA
___ STICK,FISH,HOCKEY,MEMORY,SELFIE
NYT Connections 54,August 4th,2023,,
PLACES FOR WORSHIP,ALTAR,RELIQUARY,SHRINE,TEMPLE
CARTOON CATS,FELIX,GARFIELD,SYLVESTER,TOM
PRESIDENTIAL FIRST NAMES,CALVIN,CHESTER,GROVER,HARRY
___ ROAD,ABBEY,HIGH,ROCKY,SILK
NYT Connections 53,August 3rd,2023,,
ANIMAL GROUP NAMES,COLONY,HERD,PRIDE,SWARM
STONED,BAKED,BLAZED,HIGH,LIT
AP CLASSES,BIO,CHEM,GOV,STATS
TAXONOMY RANKS,CLASS,DOMAIN,FAMILY,ORDER
NYT Connections 52,August 2nd,2023,,
COMPUTER EQUIPMENT,KEYBOARD,MONITOR,MOUSE,SPEAKER
RODENTS,GERBIL,HAMSTER,RAT,VOLE
MUSICAL INSTRUMENTS,HARP,HORN,ORGAN,TRIANGLE
SYNONYMS FOR COMPLAIN,CARP,GRIPE,GROUSE,MOAN
NYT Connections 51,August 1st,2023,,
LONG SANDWICHES,HERO,HOAGIE,GRINDER,SUB
DATING APPS,BUMBLE,HINGE,MATCH,TINDER
VAMPIRE MOVIES,BLADE,LOST BOYS,NEAR DARK,TWILIGHT
ADAMS,ANT,DRIVER,SCOTT,WEST
NYT Connections 50,July 31st,2023,,
UNITS OF LENGTH,FOOT,INCH,MILE,YARD
TYPES OF PAINT,ACRYLIC,OIL,TEMPERA,WATERCOLOR
DEEP FRIED FOOD,FALAFEL,KATSU,SAMOSA,SCHNITZEL
STARTS OF U.S. COINS,DIM,NICK,PEN,QUART
NYT Connections 49,July 30th,2023,,
RELATIVES,AUNT,COUSIN,MOTHER,NEPHEW
SYNONYMS FOR OFFBEAT,DAFFY,KOOKY,QUIRKY,WACKY
DISNEY DUCKS,DAISY,DEWEY,DONALD,SCROOGE
___ CLOCK,ALARM,BIOLOGICAL,CUCKOO,GRANDFATHER
NYT Connections 48,July 29th,2023,,
FABRICS,CORDUROY,DENIM,LINEN,TWEED
APPARITIONS,GHOST,PHANTOM,SPECTER,SPIRIT
SYNONYMS FOR BOTHER,NEEDLE,POKE,RIB,TEASE
DISNEY CHARACTERS,BEAST,GENIE,SCAR,STITCH
NYT Connections 47,July 28th,2023,,
BIOMES,DESERT,FOREST,GRASSLAND,TUNDRA
LIZARDS,CHAMELEON,GECKO,IGUANA,MONITOR
YOGA POSES,COBRA,LOTUS,TREE,WARRIOR
DANCES WHEN DOUBLED,CAN,CHA,GO,NAE
NYT Connections 46,July 27th,2023,,
MOVIE TITLE CITIES,CHICAGO,MUNICH,PHILADELPHIA,RIO
FASHION MAGAZINES,ALLURE,ELLE,GLAMOUR,W
STORMS,BLIZZARD,CYCLONE,SQUALL,TORNADO
COCKTAILS,COSMOPOLITAN,HURRICANE,MANHATTAN,SCREWDRIVER
NYT Connections 45,July 26th,2023,,
MODES OF TRANSPORTATION,BOAT,CAR,PLANE,TRAIN
NBA PLAYERS,KING,MAGIC,SUN,THUNDER
FAST FOOD CHAINS,CHECKERS,OUTBACK,SONIC,SUBWAY
BAND NAMES MINUS COLORS,DAY,FLOYD,SABBATH,STRIPES
NYT Connections 44,July 25th,2023,,
STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID
EDIT MENU COMMANDS,COPY,CUT,PASTE,UNDO
DEFEAT BADLY,CRUSH,ROUT,SHELLAC,TRASH
ANAGRAMS,LEAST,SLATE,STALE,TESLA
NYT Connections 43,July 24th,2023,,
SYNONYMS FOR ANGRY,FURIOUS,INCENSED,IRATE,LIVID
THINGS THAT ARE YELLOW,BANANA,CANARY,SCHOOL BUS,SUNFLOWER
MARINE BIRDS,BOOBY,GULL,PELICAN,PUFFIN
___ BOYS,BEACH,BEASTIE,HARDY,LOST
NYT Connections 42,July 23rd,2023,,
SCUBA GEAR,FINS,MASK,SNORKEL,TANK
PUNCTUATION MARKS,COLON,COMMA,HYPHEN,PERIOD
RUN QUICKLY,BOLT,DASH,RACE,SPRINT
___ CAT,DOJA,FAT,HOUSE,JUNGLE
NYT Connections 41,July 22nd,2023,,
BOTTLED WATER BRANDS,DASANI,EVIAN,FIJI,VOSS
SLANG FOR COFFEE,BREW,JAVA,JOE,MUD
ISLAND COUNTRIES,CUBA,JAPAN,MALTA,PALAU
CEREAL MASCOTS,LUCKY,POP,SAM,TONY
NYT Connections 40,July 21st,2023,,
WOODWINDS,BASSOON,CLARINET,FLUTE,OBOE
COVERINGS,CAP,COVER,LID,TOP
SUNGLASSES,AVIATOR,CAT EYE,WAYFARER,WRAPAROUND
SEALS,HARBOR,HARP,HOODED,MONK
NYT Connections 39,July 20th,2023,,
TIMEKEEPING DEVICES,CLOCK,HOURGLASS,SUNDIAL,WATCH
HAIRSTYLES,BOB,CROP,PIXIE,SHAG
UNITS OF MEASURE,HERTZ,MOLE,NEWTON,SECOND
DR. ___,EVIL,J,NO,PEPPER
NYT Connections 38,July 19th,2023,,
TREES,ASH,CEDAR,MAPLE,PINE
LAND FORMATIONS,HILL,MOUNTAIN,PLATEAU,VALLEY
BAGEL FLAVORS,EVERYTHING,ONION,PLAIN,POPPY
STREETS ON SCREEN,ELM,FEAR,JUMP,SESAME
NYT Connections 37,July 18th,2023,,
MARINE MAMMALS,DOLPHIN,MANATEE,OTTER,SEAL
BIKE PARTS,BRAKE,CHAIN,SADDLE,SPOKE
SYNONYMS FOR SELL,HAWK,MOVE,PEDDLE,VEND
"COUNTRIES WHEN ""A"" IS ADDED",CHIN,CUB,MALT,TONG
NYT Connections 36,July 17th,2023,,
MARSUPIALS,KANGAROO,KOALA,WALLABY,WOMBAT
CHOCOLATE BARS,CHUNKY,CRUNCH,MARS,MOUNDS
SLANG FOR MONEY,CHEDDAR,DOUGH,PAPER,STACKS
NAKED ___,EYE,GUN,MOLE RAT,TRUTH
NYT Connections 35,July 16th,2023,,
U.S. COINS,DIME,NICKEL,PENNY,QUARTER
METAL ELEMENTS,IRON,LEAD,TIN,ZINC
LUCKY CHARMS MARSHMALLOWS,CLOVER,HORSESHOE,MOON,RAINBOW
___ AND ___,AGAIN,HALF,NECK,SO
NYT Connections 34,July 15th,2023,,
PLEASANT SMELLS,AROMA,BOUQUET,FRAGRANCE,SCENT
MUSIC GENRES,BLUES,COUNTRY,FUNK,SOUL
ROCK PAPER SCISSORS,PAPER,ROCK,SCISSORS,SHOOT
MALE ANIMALS,BOAR,BUCK,BULL,JACK
NYT Connections 33,July 14th,2023,,
BOATS,FERRY,JUNK,TUG,YACHT
SANDWICHES,CLUB,CUBAN,MELT,SUB
CUTS OF BEEF,FLANK,LOIN,ROUND,SHANK
NICKNAMES THAT ARE VERBS,CHUCK,JOSH,ROB,SUE
NYT Connections 32,July 13th,2023,,
SHOE PARTS,HEEL,LACE,SOLE,TONGUE
BOARD GAMES,CLUE,RISK,SORRY,TROUBLE
FICTIONAL SPIES,BOND,HUNT,RYAN,SMART
RUBBER ___,BAND,CEMENT,DUCKIE,SOUL
NYT Connections 31,July 12th,2023,,
VEGETABLES THAT ARE ALSO FRUITS,CUCUMBER,EGGPLANT,PEPPER,TOMATO
3-D SHAPES,CONE,CUBE,PYRAMID,SPHERE
"WORDS WITH ""i""",MAC,PAD,PHONE,POD
WORDS WITH TWO PRONUNCIATIONS,JOB,LIMA,MOBILE,POLISH
NYT Connections 30,July 11th,2023,,
NFL PLAYERS,BRONCO,COWBOY,PACKER,RAVEN
PASTA SHAPES,BOWTIE,ELBOW,SHELL,SPIRAL
JOINTS,HIP,KNEE,SHOULDER,WRIST
"MOVIES WITH ""!""",AIRPLANE,MOTHER,OKLAHOMA,THEM
NYT Connections 29,July 10th,2023,,
WINGED INSECTS,FLY,GNAT,MOTH,WASP
ARITHMETIC OPERATIONS,ADD,DIVIDE,MULTIPLY,SUBTRACT
FISH,TANG,TETRA,SKATE,SOLE
___ CAT,ALLEY,COOL,COPY,LAP
NYT Connections 28,July 9th,2023,,
SEVEN DWARFS,BASHFUL,DOC,GRUMPY,HAPPY
FILE EXTENSIONS,GIF,PDF,TIFF,ZIP
FLIGHTLESS BIRDS,EMU,KIWI,OSTRICH,PENGUIN
TROPICAL FRUITS,BANANA,COCONUT,MANGO,PINEAPPLE
NYT Connections 27,July 8th,2023,,
HATS,BERET,BOWLER,FEDORA,FEZ
ORGANS,HEART,KIDNEY,LIVER,LUNG
PARTS OF A BOOK,COVER,JACKET,PAGE,SPINE
JACK ___,ASS,KNIFE,POT,RABBIT
